date,scene,category,author_tier,app_version,exposure,effective_view_users,comments,comment_users,author_replies,replied_users,replied_revisit_users,sw_impressions,sw_clicks,l1_search_users,l2_search_users,search_users,order_users,gmv
2026-06-14,推荐,美妆,头部,v28.1,271745,86280,2669,2295,572,527,162,101810,5257,1058,695,1753,178,17084
2026-06-14,推荐,美妆,头部,v28.2,331565,103866,3251,2796,714,657,212,122562,6541,1272,861,2134,222,21108
2026-06-14,推荐,美妆,腰部,v28.1,160387,51032,1577,1356,624,574,175,60217,3105,642,413,1055,109,10663
2026-06-14,推荐,美妆,腰部,v28.2,202462,64346,1927,1657,704,648,202,75928,4024,826,527,1352,136,13211
2026-06-14,推荐,美妆,尾部,v28.1,76127,23502,743,639,393,362,114,27732,1481,300,198,498,50,4700
2026-06-14,推荐,美妆,尾部,v28.2,97227,31205,959,824,477,438,131,36822,1881,383,259,642,63,6003
2026-06-14,推荐,数码,头部,v28.1,181766,57986,1742,1498,395,363,110,68424,3516,739,469,1207,123,52947
2026-06-14,推荐,数码,头部,v28.2,233988,74097,2283,1963,479,441,137,87435,4411,950,616,1567,155,67255
2026-06-14,推荐,数码,腰部,v28.1,118883,37611,1212,1042,453,417,129,44381,2304,466,313,778,80,33923
2026-06-14,推荐,数码,腰部,v28.2,144653,45516,1394,1198,531,488,149,53709,2721,574,382,956,95,41247
2026-06-14,推荐,数码,尾部,v28.1,56894,18119,565,486,303,279,87,21380,1145,223,147,371,37,16218
2026-06-14,推荐,数码,尾部,v28.2,71739,22892,715,615,386,355,110,27012,1441,280,187,467,47,20136
2026-06-14,推荐,家居,头部,v28.1,151944,46970,1436,1235,329,303,92,55425,2948,602,384,986,102,17293
2026-06-14,推荐,家居,头部,v28.2,184763,59279,1872,1610,400,368,116,69949,3688,755,487,1241,129,21770
2026-06-14,推荐,家居,腰部,v28.1,97243,31043,975,838,367,338,102,36630,1909,389,255,645,66,11150
2026-06-14,推荐,家居,腰部,v28.2,118216,37016,1110,955,424,390,119,43679,2287,465,301,766,75,12444
2026-06-14,推荐,家居,尾部,v28.1,45964,14496,441,379,229,211,67,17106,883,178,116,294,31,5162
2026-06-14,推荐,家居,尾部,v28.2,55502,17189,519,447,260,240,76,20284,1078,221,137,358,37,6227
2026-06-14,推荐,服饰,头部,v28.1,227490,70777,2181,1875,498,458,147,83517,4365,872,597,1469,150,18959
2026-06-14,推荐,服饰,头部,v28.2,270844,86249,2693,2316,563,518,162,101774,5438,1076,714,1790,179,22849
2026-06-14,推荐,服饰,腰部,v28.1,143553,45667,1383,1189,523,481,151,53887,2753,570,366,936,95,11938
2026-06-14,推荐,服饰,腰部,v28.2,169064,53036,1618,1391,621,571,177,62583,3244,667,429,1096,108,13662
2026-06-14,推荐,服饰,尾部,v28.1,68642,21362,649,558,336,309,99,25207,1318,270,179,449,47,5934
2026-06-14,推荐,服饰,尾部,v28.2,80076,24832,763,657,407,374,120,29301,1550,312,207,519,51,6501
2026-06-14,搜索,美妆,头部,v28.1,106728,33067,1034,889,231,213,66,39019,2050,418,273,691,69,6755
2026-06-14,搜索,美妆,头部,v28.2,138184,42700,1333,1146,284,262,84,50386,2696,540,357,897,92,8950
2026-06-14,搜索,美妆,腰部,v28.1,70057,22443,680,584,264,243,74,26483,1366,273,188,460,45,4303
2026-06-14,搜索,美妆,腰部,v28.2,80332,25568,763,657,283,260,81,30171,1542,321,205,526,54,5191
2026-06-14,搜索,美妆,尾部,v28.1,31998,10105,302,259,154,142,44,11924,621,126,84,210,21,2053
2026-06-14,搜索,美妆,尾部,v28.2,40649,12985,402,345,218,201,62,15322,796,161,107,269,27,2640
2026-06-14,搜索,数码,头部,v28.1,76127,23650,734,631,166,152,45,27907,1489,304,194,497,51,21828
2026-06-14,搜索,数码,头部,v28.2,96444,30167,920,791,202,186,58,35597,1825,372,243,615,61,25937
2026-06-14,搜索,数码,腰部,v28.1,50816,16270,507,436,185,170,54,19199,1009,205,134,339,34,14454
2026-06-14,搜索,数码,腰部,v28.2,59568,18887,573,493,226,208,62,22287,1179,239,151,390,38,16733
2026-06-14,搜索,数码,尾部,v28.1,24627,7866,239,205,129,119,38,9281,475,99,64,164,16,7075
2026-06-14,搜索,数码,尾部,v28.2,27986,8934,266,229,138,127,40,10543,563,109,75,184,18,7867
2026-06-14,搜索,家居,头部,v28.1,63545,20298,619,532,142,130,42,23952,1243,247,163,409,41,6934
2026-06-14,搜索,家居,头部,v28.2,77765,24278,733,630,161,148,44,28648,1502,298,204,501,50,8260
2026-06-14,搜索,家居,腰部,v28.1,42265,13078,392,338,153,141,43,15432,786,167,106,273,27,4425
2026-06-14,搜索,家居,腰部,v28.2,51506,16547,503,433,189,174,55,19525,998,203,134,337,34,5740
2026-06-14,搜索,家居,尾部,v28.1,20293,6359,200,172,105,96,30,7504,383,78,51,129,13,2203
2026-06-14,搜索,家居,尾部,v28.2,25140,7823,248,213,125,115,36,9231,493,98,66,164,17,2829
2026-06-14,搜索,服饰,头部,v28.1,90488,28328,878,755,189,174,55,33427,1719,345,227,572,58,7323
2026-06-14,搜索,服饰,头部,v28.2,118144,36803,1160,998,249,229,69,43428,2287,469,305,774,80,10343
2026-06-14,搜索,服饰,腰部,v28.1,59661,19088,596,512,219,201,64,22524,1174,236,161,396,40,5041
2026-06-14,搜索,服饰,腰部,v28.2,73560,23010,695,598,275,253,80,27152,1414,281,193,474,47,6015
2026-06-14,搜索,服饰,尾部,v28.1,27304,8758,262,225,139,128,40,10335,532,109,74,182,18,2296
2026-06-14,搜索,服饰,尾部,v28.2,34571,11021,335,288,180,166,53,13004,670,135,89,224,22,2867
2026-06-14,关注,美妆,头部,v28.1,83931,26538,821,706,182,167,53,31315,1596,324,223,548,55,5274
2026-06-14,关注,美妆,头部,v28.2,102965,31992,964,829,206,190,58,37751,1948,411,263,674,66,6323
2026-06-14,关注,美妆,腰部,v28.1,51707,16572,518,445,193,178,57,19555,1016,208,132,340,34,3200
2026-06-14,关注,美妆,腰部,v28.2,64766,20390,642,552,241,222,71,24060,1216,254,163,417,42,4056
2026-06-14,关注,美妆,尾部,v28.1,25782,8045,253,217,127,117,37,9493,507,99,66,164,17,1608
2026-06-14,关注,美妆,尾部,v28.2,31445,10005,314,270,168,155,47,11806,627,124,84,208,21,2075
2026-06-14,关注,数码,头部,v28.1,61848,19434,614,528,133,122,39,22933,1175,242,157,399,39,16930
2026-06-14,关注,数码,头部,v28.2,78822,24721,773,665,172,158,48,29171,1524,302,198,500,50,21589
2026-06-14,关注,数码,腰部,v28.1,39964,12789,383,329,153,140,43,15091,770,162,103,265,26,11377
2026-06-14,关注,数码,腰部,v28.2,47598,14961,477,411,177,163,52,17655,939,184,123,307,31,13449
2026-06-14,关注,数码,尾部,v28.1,19000,5885,187,160,94,87,27,6944,355,73,47,120,12,5344
2026-06-14,关注,数码,尾部,v28.2,22486,7197,218,187,111,102,32,8492,451,88,61,148,15,6414
2026-06-14,关注,家居,头部,v28.1,51179,15827,492,423,113,104,33,18676,996,197,129,326,32,5409
2026-06-14,关注,家居,头部,v28.2,64336,20242,636,547,133,122,39,23885,1255,260,169,429,43,7220
2026-06-14,关注,家居,腰部,v28.1,31024,9706,293,252,112,103,31,11454,599,122,80,202,21,3481
2026-06-14,关注,家居,腰部,v28.2,38665,12384,394,339,147,135,41,14613,741,156,103,258,25,4279
2026-06-14,关注,家居,尾部,v28.1,15381,4913,158,136,86,79,25,5798,298,61,41,102,10,1763
2026-06-14,关注,家居,尾部,v28.2,18663,5795,179,154,95,87,27,6838,346,74,47,120,12,2019
2026-06-14,关注,服饰,头部,v28.1,74968,23469,714,614,162,149,48,27693,1457,296,190,487,49,6196
2026-06-14,关注,服饰,头部,v28.2,87035,26917,843,725,182,167,53,31762,1684,328,220,548,57,7399
2026-06-14,关注,服饰,腰部,v28.1,44093,13855,443,381,168,154,46,16348,854,169,111,280,28,3688
2026-06-14,关注,服饰,腰部,v28.2,55236,17250,538,462,202,186,60,20355,1039,212,144,355,35,4476
2026-06-14,关注,服饰,尾部,v28.1,22856,7243,227,195,122,112,34,8547,438,91,60,151,15,2002
2026-06-14,关注,服饰,尾部,v28.2,26281,8222,259,223,134,123,39,9702,496,104,67,172,18,2244
2026-06-15,推荐,美妆,头部,v28.1,221388,68824,2167,1864,480,442,142,81212,4123,864,581,1444,150,14478
2026-06-15,推荐,美妆,头部,v28.2,260129,83496,2691,2315,572,526,167,98526,5082,1049,688,1737,176,16589
2026-06-15,推荐,美妆,腰部,v28.1,134370,41595,1284,1104,477,439,132,49082,2606,529,351,881,89,8553
2026-06-15,推荐,美妆,腰部,v28.2,161767,51431,1534,1319,566,520,159,60689,3199,624,416,1040,103,9755
2026-06-15,推荐,美妆,尾部,v28.1,67937,21419,684,588,373,343,109,25274,1321,264,175,439,46,4308
2026-06-15,推荐,美妆,尾部,v28.2,82773,26208,791,680,424,390,122,30925,1638,337,215,552,56,5525
2026-06-15,推荐,数码,头部,v28.1,159678,50200,1541,1325,341,313,96,59237,3105,619,399,1018,103,43665
2026-06-15,推荐,数码,头部,v28.2,190118,60700,1938,1666,427,393,126,71626,3836,740,498,1238,123,53641
2026-06-15,推荐,数码,腰部,v28.1,99126,30816,934,803,346,318,103,36363,1938,383,248,631,62,26779
2026-06-15,推荐,数码,腰部,v28.2,123723,39336,1184,1018,430,396,118,46417,2443,496,325,821,81,34315
2026-06-15,推荐,数码,尾部,v28.1,48118,15003,483,415,262,241,75,17704,926,190,122,312,31,13210
2026-06-15,推荐,数码,尾部,v28.2,58174,18660,561,482,286,263,84,22019,1121,238,152,389,39,17083
2026-06-15,推荐,家居,头部,v28.1,130270,41300,1321,1136,304,280,84,48735,2483,516,331,846,85,14300
2026-06-15,推荐,家居,头部,v28.2,158116,50549,1608,1383,367,338,107,59648,3020,647,413,1060,108,18153
2026-06-15,推荐,家居,腰部,v28.1,80395,25139,798,686,304,280,88,29664,1534,318,201,518,51,8407
2026-06-15,推荐,家居,腰部,v28.2,102918,32171,999,859,376,346,110,37962,1940,393,269,662,65,11151
2026-06-15,推荐,家居,尾部,v28.1,39980,12356,377,325,196,180,56,14580,766,158,104,263,27,4578
2026-06-15,推荐,家居,尾部,v28.2,47996,14939,473,407,254,234,71,17628,894,189,123,311,31,5297
2026-06-15,推荐,服饰,头部,v28.1,180768,56518,1822,1567,418,385,116,66691,3533,712,472,1184,116,14796
2026-06-15,推荐,服饰,头部,v28.2,223924,70648,2178,1873,502,462,140,83364,4342,884,564,1448,146,18719
2026-06-15,推荐,服饰,腰部,v28.1,119694,38132,1199,1032,477,439,135,44996,2309,478,304,782,78,9899
2026-06-15,推荐,服饰,腰部,v28.2,142571,45572,1413,1215,557,513,162,53775,2811,575,369,944,95,12232
2026-06-15,推荐,服饰,尾部,v28.1,56980,17978,542,466,281,259,78,21214,1117,228,148,376,39,5010
2026-06-15,推荐,服饰,尾部,v28.2,66834,21185,642,552,335,308,98,24998,1295,257,172,429,44,5567
2026-06-15,搜索,美妆,头部,v28.1,89650,28656,919,790,193,178,56,33814,1775,356,237,593,60,5833
2026-06-15,搜索,美妆,头部,v28.2,112882,35209,1127,969,244,225,72,41547,2114,441,297,738,76,7429
2026-06-15,搜索,美妆,腰部,v28.1,55732,17620,548,472,215,198,60,20792,1074,217,146,363,37,3566
2026-06-15,搜索,美妆,腰部,v28.2,71360,22882,687,591,259,239,76,27001,1401,278,188,467,46,4480
